May 09 08:36:35 kiseki-storage-1 systemd[1]: Started Kiseki Storage Server (node 1, nvme).
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.414004Z  INFO kiseki_server: kiseki-server starting data_addr=0.0.0.0:9100 advisory_addr=0.0.0.0:9101
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.414150Z  WARN kiseki_server::runtime: advisory gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9101
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.414300Z  INFO run_advisory_stream_server{addr=0.0.0.0:9102}: kiseki_advisory::stream: advisory TCP stream server listening addr=0.0.0.0:9102
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.415244Z  INFO kiseki_server::runtime: system disk detected media_type=Nvme total_gb=49 soft_limit_gb=24 budget_gb=20
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.415263Z  INFO kiseki_server::runtime: node identity configured node_id=1 peers=3 raft_addr=Some(10.0.0.10:9300)
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.444563Z  INFO kiseki_server::runtime: key store at-rest identity source="file"
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.444680Z  INFO fjall::db: Creating database at /var/lib/kiseki/keys/epochs
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.450443Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.455091Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.457141Z  INFO kiseki_server::runtime: key manager: persistent (fjall) ready epoch=1
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.460090Z  INFO kiseki_server::runtime: small object store: persistent (redb) path=/var/lib/kiseki
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.460298Z  INFO kiseki_log::raft_shard_store: Raft runtime threads=64
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.462660Z  INFO kiseki_log::raft_shard_store: Raft RPC listener spawned (multiplexed, ADR-041) addr=10.0.0.10:9300
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.462760Z  WARN kiseki_raft::tcp_transport: Raft RPC listener started (plaintext — dev mode, multiplexed) addr=10.0.0.10:9300
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.462863Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/shard-00000000-0000-0000-0000-000000000001
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.468314Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.473359Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.474749Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N1:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.474766Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.474773Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.484125Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 1 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 57, tv_nsec: 543744598 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 1 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 1 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 1 } })), id: "1", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "1", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "1", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.484172Z  INFO openraft::engine::engine_impl: startup done, id=1, target_state: Learner
May 09 08:36:35 kiseki-storage-1 kiseki-server[9181]: 2026-05-09T08:36:35.484160Z  INFO kiseki_log::raft_shard_store: shard registered with Raft RPC listener shard_id=00000000-0000-0000-0000-000000000001
