May 09 08:36:51 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142605Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N3:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142628Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142642Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142763Z  INFO kiseki_server::runtime: control-plane Raft group: up (ADR-033 §4) node_id=3 peers=3
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142724Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 3 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 74, tv_nsec: 491465990 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), id: "3", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142782Z  INFO openraft::engine::engine_impl: startup done, id=3, target_state: Learner
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.142780Z  INFO kiseki_server::runtime: audit log: in-memory events=0
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.145151Z  INFO fjall::db: Creating database at /var/lib/kiseki/chunks/meta
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.150166Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.154805Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:51 kiseki-storage-3 kiseki-server[19985]: 2026-05-09T08:36:51.156033Z  INFO kiseki_server::runtime: chunk store: persistent (raw block, group commit) path=/var/lib/kiseki flush_interval_ms=100
