May 09 08:36:38 kiseki-storage-2 systemd[1]: Started Kiseki Storage Server (node 2, nvme).
May 09 08:36:38 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:38.984810Z  INFO kiseki_server: kiseki-server starting data_addr=0.0.0.0:9100 advisory_addr=0.0.0.0:9101
May 09 08:36:38 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:38.984956Z  WARN kiseki_server::runtime: advisory gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9101
May 09 08:36:38 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:38.985125Z  INFO run_advisory_stream_server{addr=0.0.0.0:9102}: kiseki_advisory::stream: advisory TCP stream server listening addr=0.0.0.0:9102
May 09 08:36:38 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:38.986058Z  INFO kiseki_server::runtime: system disk detected media_type=Nvme total_gb=49 soft_limit_gb=24 budget_gb=20
May 09 08:36:38 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:38.986085Z  INFO kiseki_server::runtime: node identity configured node_id=2 peers=3 raft_addr=Some(10.0.0.11:9300)
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.015143Z  INFO kiseki_server::runtime: key store at-rest identity source="file"
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.015256Z  INFO fjall::db: Creating database at /var/lib/kiseki/keys/epochs
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.022525Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.026700Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.029177Z  INFO kiseki_server::runtime: key manager: persistent (fjall) ready epoch=1
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.031579Z  INFO kiseki_server::runtime: small object store: persistent (redb) path=/var/lib/kiseki
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.031784Z  INFO kiseki_log::raft_shard_store: Raft runtime threads=64
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.034174Z  INFO kiseki_log::raft_shard_store: Raft RPC listener spawned (multiplexed, ADR-041) addr=10.0.0.11:9300
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.034291Z  WARN kiseki_raft::tcp_transport: Raft RPC listener started (plaintext — dev mode, multiplexed) addr=10.0.0.11:9300
May 09 08:36:39 kiseki-storage-2 kiseki-server[19037]: 2026-05-09T08:36:39.034389Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/shard-00000000-0000-0000-0000-000000000001
