May 07 19:10:54 kiseki-storage-3 systemd[1]: Started Kiseki Storage Server (node 3, nvme).
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.882869Z  INFO kiseki_server: kiseki-server starting data_addr=0.0.0.0:9100 advisory_addr=0.0.0.0:9101
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.882988Z  WARN kiseki_server::runtime: advisory gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9101
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.883184Z  INFO run_advisory_stream_server{addr=0.0.0.0:9102}: kiseki_advisory::stream: advisory TCP stream server listening addr=0.0.0.0:9102
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.884019Z  INFO kiseki_server::runtime: system disk detected media_type=Nvme total_gb=49 soft_limit_gb=24 budget_gb=20
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.884036Z  INFO kiseki_server::runtime: node identity configured node_id=3 peers=3 raft_addr=Some(10.0.0.12:9300)
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.913166Z  INFO kiseki_server::runtime: key store at-rest identity source="file"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.913313Z  INFO fjall::db: Creating database at /var/lib/kiseki/keys/epochs
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.921192Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.925662Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.928119Z  INFO kiseki_server::runtime: key manager: persistent (fjall) ready epoch=1
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.931157Z  INFO kiseki_server::runtime: small object store: persistent (redb) path=/var/lib/kiseki
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.931372Z  INFO kiseki_log::raft_shard_store: Raft runtime threads=64
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.933689Z  INFO kiseki_log::raft_shard_store: Raft RPC listener spawned (multiplexed, ADR-041) addr=10.0.0.12:9300
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.933828Z  WARN kiseki_raft::tcp_transport: Raft RPC listener started (plaintext — dev mode, multiplexed) addr=10.0.0.12:9300
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.933904Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/shard-00000000-0000-0000-0000-000000000001
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.938737Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.943279Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.944683Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N3:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.944704Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.944714Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.954116Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 3 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 75, tv_nsec: 289634055 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), id: "3", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.954141Z  INFO kiseki_log::raft_shard_store: shard registered with Raft RPC listener shard_id=00000000-0000-0000-0000-000000000001
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.954172Z  INFO kiseki_server::runtime: log store: Raft node_id=3 peers=3
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.954159Z  INFO openraft::engine::engine_impl: startup done, id=3, target_state: Learner
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.954367Z  INFO fjall::db: Creating database at /var/lib/kiseki/raft/cluster_control
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.959955Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.965132Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966499Z  INFO openraft::storage::helper: get_initial_state: vote: <T0-N3:->, last_purged_log_id: None, last_applied: None, committed: None, last_log_id: None
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966524Z  INFO openraft::storage::helper: load membership from log: [0..0)
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966538Z  INFO openraft::storage::helper: load key log ids from (None,None]
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966618Z  INFO openraft::engine::engine_impl: startup begin: state: RaftState { vote: Leased { data: Vote { leader_id: LeaderId { term: 0, node_id: 3 }, committed: false }, last_update: Some(TokioInstant(Instant { tv_sec: 75, tv_nsec: 311457581 })), lease: 0ns, lease_enabled: true }, log_ids: LogIdList { purged: None, key_log_ids: [] }, membership_state: MembershipState { committed: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} }, effective: EffectiveMembership { log_id: None, membership: Membership { configs: [], nodes: {} }, voter_ids: {} } }, snapshot_meta: SnapshotMeta { last_log_id: None, last_membership: StoredMembership { log_id: None, membership: Membership { configs: [], nodes: {} } }, snapshot_id: "" }, last_inflight_id: 0, server_state: Learner, io_state: IOState { building_snapshot: false, log_progress: IOProgress { accepted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), submitted: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), flushed: Some(Vote(UncommittedVote { leader_id: LeaderId { term: 0, node_id: 3 } })), id: "3", name: "LogIO" }, apply_progress: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Apply" }, snapshot: IOProgress { accepted: None, submitted: None, flushed: None, id: "3", name: "Snapshot" }, cluster_committed: MonotonicIncrease { value: None }, purged: None }, purge_upto: None, progress_id_gen: SharedIdGenerator { next_id: 1 } }, is_leader: false, is_voter: false
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966668Z  INFO openraft::engine::engine_impl: startup done, id=3, target_state: Learner
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966658Z  INFO kiseki_server::runtime: control-plane Raft group: up (ADR-033 §4) node_id=3 peers=3
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.966685Z  INFO kiseki_server::runtime: audit log: in-memory events=0
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.969050Z  INFO fjall::db: Creating database at /var/lib/kiseki/chunks/meta
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.974206Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.979123Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980370Z  INFO kiseki_server::runtime: chunk store: persistent (raw block, group commit) path=/var/lib/kiseki flush_interval_ms=100
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980400Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=1 fabric_addr="10.0.0.10:9100"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980415Z  INFO kiseki_server::runtime: fabric peer registered for cross-node chunks peer_id=2 fabric_addr="10.0.0.11:9100"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980419Z  INFO kiseki_server::runtime: cross-node chunk replication enabled (Phase 16a) peers=2
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980422Z  INFO kiseki_server::runtime: cluster durability defaults cluster_size=3 copies=3 min_acks=2 strategy=Replication { copies: 3 }
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980439Z  INFO kiseki_server::runtime: scrub scheduler: spawned (orphan + under-replication, 10-min cadence, drain-on-shutdown)
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980442Z  INFO kiseki_server::runtime: raw block devices configured devices=8
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980502Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-0"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980511Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-1"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980516Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-2"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980521Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-3"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980526Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-4"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980530Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-5"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980534Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-6"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980539Z  INFO kiseki_server::runtime: raw device detected device="/dev/disk/by-id/google-local-nvme-ssd-7"
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.980613Z  INFO fjall::db: Creating database at /var/lib/kiseki/metadata/compositions
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.981488Z  INFO kiseki_chunk_cluster::scrub_scheduler: scrub scheduler: shutdown received, draining
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.985194Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.989883Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.993563Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:54 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:54.998488Z  INFO lsm_tree::tree::ingest: Finished ingestion writer
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.000276Z  INFO kiseki_server::runtime: composition store: persistent (fjall, eventual durability) path=/var/lib/kiseki/metadata/compositions interval_ms=100
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.002938Z  INFO kiseki_server::runtime: view store: persistent (redb-backed, ADR-040) path=/var/lib/kiseki/metadata/views.redb
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003541Z  INFO kiseki_server::runtime: bootstrap: namespace 'default' + view installed (Raft follower; will hydrate compositions from log)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003571Z  INFO kiseki_server::runtime: inline write path disabled in multi-node cluster — small writes go through fabric (Phase 16a)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003579Z  INFO kiseki_server::runtime: fsync hook: composition store (fjall) registered
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003582Z  INFO kiseki_server::runtime: fsync hook: chunk-store device registered
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003631Z  WARN kiseki::nfs::security: NFS path is PLAINTEXT — fh4s and data are observable on the network. Mitigations: VPC isolation, firewall ingress restrictions. Compliance: this configuration violates I-PN7-default and is acceptable only with documented compensating controls.
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003641Z  INFO kiseki_server::runtime: NFS transport posture mode=Plaintext layout_ttl_seconds=60
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003719Z  WARN kiseki_gateway::s3_server: S3 HTTP gateway listening (PLAINTEXT — development only) addr=0.0.0.0:9000
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003777Z  INFO kiseki_gateway::nfs_server: NFS server listening (NFSv3 + NFSv4.2) addr=0.0.0.0:2049
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003781Z  INFO kiseki_server::runtime: portmapper listening (NFS3 + MOUNT3 → NFS port) addr=0.0.0.0:111 advertised_nfs_port=2049
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003798Z  INFO kiseki_server::metrics: metrics + admin UI server listening addr=0.0.0.0:9090
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003831Z  INFO kiseki_server::runtime: pNFS DS listener spawned addr=0.0.0.0:2052
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003837Z  INFO kiseki_server::runtime: composition hydrator spawned (Phase 16f — followers consume create-deltas)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003842Z  INFO kiseki_server::runtime: backup: disabled (set KISEKI_BACKUP_BACKEND=fs|s3 to enable)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003845Z  INFO kiseki_server::runtime: control plane: in-process (ControlService on data-path gRPC)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.003881Z  INFO kiseki_gateway::pnfs_ds_server: pNFS DS listening addr=0.0.0.0:2052 tls=false
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006557Z  INFO kiseki_server::runtime: tuning store: persistent (redb) path=/var/lib/kiseki/tuning
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006663Z  WARN kiseki_server::runtime: data-path gRPC listening (PLAINTEXT — development only) addr=0.0.0.0:9100
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006693Z  WARN kiseki_server::runtime: ClusterChunkService: NO SAN interceptor (plaintext development mode — cross-node fabric is not protected against tenant certs)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006715Z  INFO kiseki_server::runtime: [transport.native] available bindings (in priority order):
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006720Z  INFO kiseki_server::runtime:   1. tcp-framed       (latency_class=Low, addr=0.0.0.0:9101)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006723Z  INFO kiseki_server::runtime:   2. grpc-h2          (latency_class=Standard, addr=0.0.0.0:9100)
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006725Z  INFO kiseki_server::runtime: [transport.native] override available via KISEKI_NATIVE_TRANSPORT={grpc|tcp|ibverbs|libfabric|auto}
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006743Z  INFO kiseki_server::runtime: TCP-framed native binding registered (ADR-042 §2.2) addr=0.0.0.0:9101 require_tls=false
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006748Z  INFO kiseki_server::runtime: gRPC native binding registered on shared data_addr (ADR-042 §2.1) require_tls=false
May 07 19:10:55 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:55.006787Z ERROR kiseki_server::runtime: TCP-framed native binding listener exited error=Address already in use (os error 98)
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348573Z  INFO openraft::raft::api::protocol: Raft::vote(): rpc: {vote:<T10-N1:->, last_log:T0-N1.0}
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348624Z  INFO openraft::core::raft_core: received RaftMsg::RequestVote: openraft::core::raft_core::RaftCore<_, _, _, _>::handle_api_msg, now: 19:10:56.348621, vote_request: {vote:<T10-N1:->, last_log:T0-N1.0}
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348669Z  INFO openraft::core::raft_core: openraft::core::raft_core::RaftCore<_, _, _, _>::handle_vote_request: req: {vote:<T10-N1:->, last_log:T0-N1.0}
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348673Z  INFO openraft::engine::engine_impl: handle vote request: req: {vote:<T10-N1:->, last_log:T0-N1.0}
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348677Z  INFO openraft::engine::engine_impl: handle vote request: my_vote: <T0-N3:->, my_last_log_id: None, lease: now: 19:10:56.348673, last_update: 19:10:54.944718(1.403954662s ago), lease: 0ns, expire at: 19:10:54.944718(0ns since now)
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348686Z  INFO openraft::engine::handler::vote_handler: vote is changing from <T0-N3:-> to <T10-N1:->
May 07 19:10:56 kiseki-storage-3 kiseki-server[18258]: 2026-05-07T19:10:56.348692Z  INFO openraft::engine::engine_impl: handle vote request result: req: {vote:<T10-N1:->, last_log:T0-N1.0}, result: Ok(())
